Simulation Number,OBA Length X,OBA Length Y,OBA Length Z,OBA S:M,OBA M:L,OBA Shape,PCA small,PCA medium,PCA long,PCA S:M,PCA M:L,PCA Shape,Surface Area (SA),Volume (Vol),SA:Vol Ratio (SAVAR),interaction_A,interaction_B,interaction_C
1,57.944842036072046,28.099225835560638,27.393480044459352,0.9748837994601212,0.4849305796375836,Lath,32.39979350479721,33.42577511086925,61.721288039534244,0.9693056749568563,0.5415599086243809,Lath,6445.83750027745,37397.67216666668,0.17235932417266225,3.0,3.0,1.0
2,79.94800526919911,24.850071858786507,23.44210634016154,0.943341591661147,0.310827915907494,Lath,22.554360972839167,23.70560015306161,60.45522083692668,0.9514359825193559,0.39211832865528107,Lath,6905.861291790633,36635.650833333326,0.18850112212302406,3.0,3.0,2.0
3,74.57389386033577,29.795951916587875,28.731068201711395,0.9642607922761601,0.39954936471991964,Lath,24.188449176637974,24.68326442664225,65.77625764948456,0.9799534112890599,0.37526100311417876,Lath,7047.579289700396,37150.4895,0.1897035378147681,3.0,4.0,1.0
4,106.93738487346229,21.836659677110717,19.645207185907037,0.8996434196618098,0.20420042722149762,Lath,15.224079441155858,16.427750581647427,64.61569419898126,0.9267294000776788,0.2542377789993074,Lath,7890.307831086533,37205.459416666716,0.21207392556888996,3.0,4.0,2.0
5,41.43026536099631,32.73960804924519,31.70938270124323,0.9685327525469348,0.7902340900781977,Lath,43.75915974873072,44.20307590857553,55.64233342638029,0.9899573468424923,0.794414489591097,Lath,6231.888011511509,37152.568666666644,0.16773774291150886,4.0,3.0,1.0
6,72.98499912748409,28.399356079819963,27.81706457327263,0.9794963130533407,0.38911223428549124,Lath,25.0875695841172,25.332752478149885,63.40763602129558,0.9903215059538374,0.39952210912959807,Lath,6889.964688752302,36867.33241666665,0.18688535994097444,4.0,3.0,2.0
7,57.227590996370054,27.182303237635423,25.644783625164145,0.9434367426840233,0.4749859772947562,Lath,32.401672836261056,33.69532904853566,63.359976618520825,0.9616072539190466,0.5318077885572663,Lath,6675.450600056065,36513.761333333314,0.182820130172732,4.0,4.0,1.0
8,97.07881084311263,21.71372627450188,20.603392557644447,0.948864892979641,0.22367111922696553,Lath,17.393926073867206,18.18078295294915,67.0226416652546,0.9567204074148904,0.2712633000017113,Lath,7733.68094159111,36912.32016666668,0.20951489656223066,4.0,4.0,2.0
