Simulation Number, 1  0  0, 0  0  1, 1  0  1,AspectRatio_ 0  0  1/ 1  0  1,AspectRatio_ 1  0  1/ 1  0  0
32.0,157.6,175.5,150.2,1.1684420772303596,0.9530456852791878
33.0,156.5,174.6,150.3,1.1616766467065867,0.9603833865814697
34.0,162.1,179.7,147.7,1.2166553825321598,0.9111659469463294
35.0,159.5,179.7,148.6,1.2092866756393001,0.9316614420062695
36.0,163.2,178.0,149.4,1.1914323962516733,0.9154411764705883
37.0,161.0,179.7,147.0,1.2224489795918367,0.9130434782608695
38.0,166.2,183.9,148.7,1.2367182246133155,0.894705174488568
39.0,167.6,186.4,148.7,1.2535305985205112,0.8872315035799522
40.0,166.9,188.1,145.5,1.2927835051546392,0.871779508687837
41.0,169.2,187.2,147.1,1.2726036709721278,0.8693853427895981
42.0,162.3,153.7,144.6,1.0629322268326418,0.8909426987060998
43.0,149.7,152.8,147.1,1.0387491502379336,0.9826319305277221
44.0,152.1,149.5,146.2,1.0225718194254447,0.9612097304404996
45.0,153.8,151.1,143.9,1.050034746351633,0.935630689206762
46.0,148.7,144.4,146.8,0.9836512261580381,0.9872225958305314
47.0,145.7,152.0,142.3,1.0681658468025297,0.9766643788606728
48.0,146.4,149.5,138.1,1.0825488776249095,0.9433060109289617
49.0,148.2,150.3,138.8,1.0828530259365994,0.9365721997300946
50.0,146.8,147.8,140.6,1.051209103840683,0.9577656675749318
51.0,146.8,147.8,137.4,1.0756914119359535,0.9359673024523161
52.0,146.1,148.6,137.2,1.0830903790087465,0.9390828199863107
53.0,146.7,149.5,137.2,1.089650145772595,0.9352419904567144
54.0,150.5,151.1,135.6,1.114306784660767,0.9009966777408638
55.0,143.1,151.1,138.8,1.0886167146974062,0.9699510831586304
56.0,149.7,152.8,138.1,1.106444605358436,0.9225116900467603
57.0,143.9,152.0,140.6,1.0810810810810811,0.9770674079221681
58.0,147.6,152.8,143.0,1.0685314685314686,0.9688346883468835
59.0,145.3,152.8,143.8,1.062586926286509,0.9896765313145217
60.0,144.6,155.3,142.2,1.0921237693389594,0.983402489626556
61.0,147.9,156.2,143.8,1.086230876216968,0.9722785665990534
62.0,145.6,157.9,146.2,1.0800273597811219,1.004120879120879
63.0,149.0,159.5,145.4,1.0969738651994498,0.9758389261744966
64.0,150.5,160.4,148.5,1.0801346801346803,0.9867109634551495
65.0,150.9,165.4,147.1,1.1244051665533652,0.9748177601060304
66.0,149.0,162.9,148.5,1.096969696969697,0.9966442953020134
67.0,149.4,164.6,148.7,1.1069266980497647,0.9953145917001337
68.0,155.7,166.3,148.7,1.1183591123066579,0.9550417469492614
69.0,152.4,167.1,150.1,1.1132578281145902,0.9849081364829395
70.0,153.5,167.9,150.3,1.117099135063207,0.9791530944625408
71.0,155.7,172.1,153.5,1.121172638436482,0.9858702633269107
72.0,157.2,173.0,150.1,1.1525649566955363,0.9548346055979644
73.0,156.1,173.8,149.4,1.1633199464524766,0.9570787956438181
74.0,159.4,176.3,150.9,1.1683233929754804,0.9466750313676286
75.0,160.3,176.3,147.8,1.1928281461434371,0.9220212102308172
76.0,158.7,176.3,152.0,1.1598684210526315,0.9577819785759295
77.0,161.3,180.5,148.7,1.2138533960995292,0.9218846869187848
78.0,161.0,180.5,151.9,1.1882817643186305,0.9434782608695652
79.0,163.2,182.2,148.7,1.2252858103564224,0.9111519607843137
80.0,163.5,184.7,148.7,1.242098184263618,0.909480122324159
81.0,165.4,186.4,147.1,1.2671651937457513,0.8893591293833131
82.0,166.2,186.4,147.1,1.2671651937457513,0.8850782190132371
83.0,151.2,150.3,151.9,0.989466754443713,1.0046296296296298
84.0,152.0,151.1,143.8,1.0507649513212793,0.9460526315789475
85.0,149.3,150.3,142.1,1.0577058409570725,0.9517749497655725
86.0,152.8,146.1,141.4,1.033239038189533,0.925392670157068
87.0,145.3,143.6,140.7,1.0206112295664536,0.9683413626978663
88.0,144.5,147.8,137.3,1.0764748725418791,0.950173010380623
89.0,146.8,146.1,138.1,1.0579290369297611,0.9407356948228882
90.0,146.8,146.9,138.0,1.0644927536231885,0.9400544959128064
91.0,139.3,146.9,138.9,1.0575953923686106,0.9971284996410624
92.0,146.7,146.9,141.4,1.038896746817539,0.9638718473074303
93.0,145.3,146.1,135.8,1.0758468335787923,0.9346180316586373
94.0,144.6,150.3,136.4,1.1019061583577714,0.9432918395573998
95.0,146.8,146.9,139.7,1.0515390121689336,0.951634877384196
96.0,141.9,148.6,138.9,1.0698344132469402,0.9788583509513742
97.0,146.0,149.5,139.6,1.070916905444126,0.9561643835616438
98.0,143.8,152.0,140.6,1.0810810810810811,0.9777468706536856
99.0,142.3,152.0,142.2,1.068917018284107,0.999297259311314
100.0,145.3,153.7,142.9,1.0755773268019593,0.9834824501032347
101.0,146.4,154.5,141.4,1.0926449787835926,0.9658469945355191
102.0,146.8,159.5,142.2,1.1216596343178622,0.9686648501362396
103.0,147.6,159.5,145.5,1.0962199312714778,0.9857723577235773
104.0,146.1,160.4,147.1,1.0904146838885114,1.0068446269678302
105.0,147.9,160.4,147.7,1.085985104942451,0.9986477349560513
106.0,147.6,162.9,147.8,1.1021650879566982,1.0013550135501357
107.0,149.0,162.9,149.4,1.0903614457831325,1.0026845637583892
108.0,151.6,164.6,148.7,1.1069266980497647,0.9808707124010554
109.0,149.4,165.4,150.2,1.1011984021304928,1.005354752342704
110.0,151.6,164.6,147.8,1.1136671177266575,0.9749340369393141
111.0,150.1,167.9,150.2,1.1178428761651134,1.0006662225183212
112.0,154.2,169.6,151.9,1.116524028966425,0.9850843060959794
113.0,155.0,171.3,150.2,1.1404793608521973,0.9690322580645161
114.0,155.3,173.0,149.4,1.1579651941097724,0.9620090148100451
115.0,155.0,173.0,150.2,1.151797603195739,0.9690322580645161
116.0,152.8,173.0,150.2,1.151797603195739,0.9829842931937172
117.0,157.6,176.3,151.1,1.1667769688947718,0.958756345177665
118.0,160.6,178.0,150.2,1.1850865512649802,0.9352428393524284
119.0,159.0,177.2,151.1,1.172733289212442,0.950314465408805
120.0,159.1,178.8,150.3,1.1896207584830338,0.9446888749214332
121.0,161.7,180.5,147.8,1.2212449255751014,0.9140383426097713
122.0,165.0,183.9,148.7,1.2367182246133155,0.9012121212121211
123.0,166.5,187.2,148.7,1.2589105581708138,0.893093093093093
124.0,150.5,152.8,146.9,1.0401633764465623,0.9760797342192692
125.0,154.2,155.3,149.4,1.0394912985274432,0.9688715953307394
126.0,158.0,147.8,143.8,1.027816411682893,0.9101265822784811
127.0,144.9,151.1,140.7,1.0739161336176262,0.9710144927536231
128.0,155.8,153.7,146.2,1.051299589603283,0.9383825417201539
129.0,143.1,145.3,140.7,1.0326936744847195,0.9832285115303983
130.0,146.8,150.3,138.0,1.0891304347826087,0.9400544959128064
131.0,148.6,143.6,134.9,1.0644922164566344,0.9078061911170929
132.0,146.8,154.5,134.2,1.1512667660208644,0.9141689373297002
133.0,146.1,146.9,138.1,1.0637219406227372,0.945242984257358
134.0,146.8,147.8,137.4,1.0756914119359535,0.9359673024523161
